MAZ,TAZ,PLAN_JURIS,AGENCY,SOI,BLOCK_ID,HH_POP,Base_HH,Base_HU,Base_EMP,HH_SF,HH_MF,HH_OTH,HU_SF,HU_MF,HU_OTH,Base_EDU,Base_FOO,Base_GOV,Base_IND,Base_MED,Base_OFC,Base_OTH,Base_RET,Base_AGR,Base_DORM,Base_MEDICAL,Base_PRISON,Base_MILITARY,Base_SCHL,Base_ELEM,Base_HS,Base_COLLEGE,MAZ_PARENT,PLANNED,GEO_AREA
1,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,4,4,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Rural
2,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,10,3,3,2,2,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,Rural
3,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,Rural
4,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Rural
5,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,3,4,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,Rural
6,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Rural
7,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,Rural
8,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,16,6,6,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,Rural
9,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,Rural
10,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,18,6,7,2,4,0,2,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,Rural
11,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,25,8,9,3,6,0,2,7,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,Rural
12,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,47,14,16,8,11,0,3,13,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,Rural
13,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,62,18,21,67,11,0,7,13,0,8,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,13,0,Rural
14,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,Rural
15,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,3,4,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,Rural
16,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,45,13,15,3,7,0,6,9,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,Rural
17,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,40,13,14,22,7,0,6,8,0,6,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,17,0,Rural
18,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,25,8,9,4,6,0,2,7,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,18,0,Rural
19,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,Rural
20,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,Rural
21,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,Rural
22,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,Rural
23,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,10,3,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,0,Rural
24,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,19,7,8,24,1,0,6,1,0,7,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,24,0,Rural
25,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,Rural
26,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,28,8,10,4,7,0,1,9,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,0,Rural
