MAZ,TAZ,PLAN_JURIS,AGENCY,SOI,BLOCK_ID,HH_POP,Base_HH,Base_HU,Base_EMP,HH_SF,HH_MF,HH_OTH,HU_SF,HU_MF,HU_OTH,Base_EDU,Base_FOO,Base_GOV,Base_IND,Base_MED,Base_OFC,Base_OTH,Base_RET,Base_AGR,Base_DORM,Base_MEDICAL,Base_PRISON,Base_MILITARY,Base_SCHL,Base_ELEM,Base_HS,Base_COLLEGE,MAZ_PARENT,PLANNED,GEO_AREA
1,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,4,4,0.654438064,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0.654438064,0,0,0,0,0,0,0,0,1,0,Rural
2,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,10,3,3,1.755558166,2,0,1,2,0,1,0,0,0,0,0,0,0,0,1.755558166,0,0,0,0,0,0,0,0,2,0,Rural
3,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,2.803442332,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2.803442332,0,0,0,0,0,0,0,0,3,0,Rural
4,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Rural
5,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,4,4,1.023349859,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1.023349859,0,0,0,0,0,0,0,0,5,0,Rural
6,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.166857195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166857195,0,0,0,0,0,0,0,0,6,0,Rural
7,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,10.17151424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17151424,0,0,0,0,0,0,0,0,7,0,Rural
8,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,16,5,6,2.773294878,3,0,3,3,0,3,0,0,0,0,0,0,0,0,2.773294878,0,0,0,0,0,0,0,0,8,0,Rural
9,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,0.17036213,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.17036213,0,0,0,0,0,0,0,0,9,0,Rural
10,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,18,6,7,2.087893723,4,0,2,5,0,2,0,0,0,0,0,0,0,0,2.087893723,0,0,0,0,0,0,0,0,10,0,Rural
11,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,25,8,9,3.455486662,6,0,2,7,0,2,0,0,0,0,0,0,0,0,3.455486662,0,0,0,0,0,0,0,0,11,0,Rural
12,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,47,13,16,7.638972002,11,0,3,13,0,3,0,0,0,0,0,0,0,0,7.638972002,0,0,0,0,0,0,0,0,12,0,Rural
13,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,62,18,21,66.7365451,11,0,7,13,0,8,0,0,0,0,0,0,0,0,66.7365451,0,0,0,0,0,0,0,0,13,0,Rural
14,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,3.357077906,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3.357077906,0,0,0,0,0,0,0,0,14,0,Rural
15,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,4,4,3.84555993,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3.84555993,0,0,0,0,0,0,0,0,15,0,Rural
16,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,45,13,15,2.748927665,7,0,6,9,0,6,0,0,0,0,0,0,0,0,2.748927665,0,0,0,0,0,0,0,0,16,0,Rural
17,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,40,12,14,21.76680392,7,0,6,8,0,6,0,0,0,0,0,0,16,0,5.766803923,0,0,0,0,0,0,0,0,17,0,Rural
18,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,25,8,9,4.042433123,6,0,2,7,0,2,0,0,0,0,0,0,0,1,3.042433123,0,0,0,0,0,0,0,0,18,0,Rural
19,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,1.094228878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.094228878,0,0,0,0,0,0,0,0,19,0,Rural
20,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,0.734988549,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.734988549,0,0,0,0,0,0,0,0,20,0,Rural
21,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,Rural
22,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,1.065384031,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1.065384031,0,0,0,0,0,0,0,0,22,0,Rural
23,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,10,3,3,2.523421072,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2.523421072,0,0,0,0,0,0,0,0,23,0,Rural
24,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,19,7,8,23.94326821,1,0,6,1,0,7,0,0,0,1,0,0,0,0,22.94326821,0,0,0,0,0,0,0,0,24,0,Rural
25,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,5,1,1,1.295719151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.295719151,0,0,0,0,0,0,0,0,25,0,Rural
26,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,28,9,10,4.021004707,7,0,1,9,0,1,0,0,0,0,0,0,0,0,4.021004707,0,0,0,0,0,0,0,0,26,0,Rural
27,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,50,14,17,3.274745783,7,0,8,8,0,9,0,0,0,0,0,0,0,0,3.274745783,0,0,0,0,0,0,0,0,27,0,Rural
28,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,10,3,3,17.32380616,0,0,3,0,0,3,0,0,0,0,0,0,0,0,17.32380616,0,0,0,0,0,0,0,0,28,0,Rural
29,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,0.412236016,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0.412236016,0,0,0,0,0,0,0,0,29,0,Rural
30,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,Rural
31,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,10,3,3,1.495947688,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1.495947688,0,0,0,0,0,0,0,0,31,0,Rural
32,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.970971765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970971765,0,0,0,0,0,0,0,0,32,0,Rural
33,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.213512893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213512893,0,0,0,0,0,0,0,0,33,0,Rural
34,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,1.102683968,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.102683968,0,0,0,0,0,0,0,0,34,0,Rural
35,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,18,6,7,2.474759265,3,0,3,4,0,3,0,0,0,0,0,0,0,0,2.474759265,0,0,0,0,0,0,0,0,35,0,Rural
36,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,25,8,9,3.132724625,4,0,4,5,0,4,0,0,0,0,0,0,0,0,3.132724625,0,0,0,0,0,0,0,0,36,0,Rural
37,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.252274817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252274817,0,0,0,0,0,0,0,0,37,0,Rural
38,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,45,13,15,4.674901341,9,0,4,11,0,4,0,0,0,0,0,0,0,0,4.674901341,0,0,0,0,0,0,0,0,38,0,Rural
39,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,11,4,4,1.937177754,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1.937177754,0,0,0,0,0,0,0,0,39,0,Rural
40,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.329886023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329886023,0,0,0,0,0,0,0,0,40,0,Rural
41,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,1.138590968,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.138590968,0,0,0,0,0,0,0,0,41,0,Rural
42,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,36,11,13,3.500341815,7,0,4,9,0,4,0,0,0,0,0,0,0,0,3.500341815,0,0,0,0,0,0,0,0,42,0,Rural
43,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,3.188660874,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3.188660874,0,0,0,0,0,0,0,0,43,0,Rural
44,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,18,6,7,18.40637414,4,0,2,5,0,2,0,0,0,0,0,0,0,0,18.40637414,0,0,0,0,0,0,0,0,44,0,Rural
45,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.208038346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208038346,0,0,0,0,0,0,0,0,45,0,Rural
46,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,1,1,1,2.57100526,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.57100526,0,0,0,0,0,0,0,0,46,0,Rural
47,2221,Unincorporate,Unincorporate,Unincorporate,6.02E+13,7,2,2,1.463354938,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1.463354938,0,0,0,0,0,0,0,0,47,0,Rural
48,2223,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,2.142262438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.142262438,0,0,0,0,0,0,0,0,48,0,Rural
49,2223,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0.359139028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359139028,0,0,0,0,0,0,0,0,49,0,Rural
50,2223,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,Rural
51,2223,Unincorporate,Unincorporate,Unincorporate,6.02E+13,0,0,0,1.096767906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096767906,0,0,0,0,0,0,0,0,51,0,Rural
