SOI,COMMUNITY,SOI_HU_P,SOI_EMP_P
Unincorporate,Auberry,0.04814,0.01225
Unincorporate,Biola,0.02548,0.00849
Unincorporate,Bowles,0.00719,0.00454
Unincorporate,Cantua Creek,0.00713,0.0037
Unincorporate,Caruthers,0.04211,0.01428
Unincorporate,Centerville,0.00937,0.00401
Unincorporate,Del Rey,0.02215,0.00778
Unincorporate,Easton,0.05193,0.01192
Unincorporate,Friant,0.01438,0.01174
Unincorporate,Friant Ranch,0.03351,0.00357
Unincorporate,Lanare,0.0131,0.00254
Unincorporate,Laton,0.0312,0.00597
Unincorporate,Malaga,0.01842,0.0062
Unincorporate,Millerton,0.03351,0.00254
Unincorporate,Minkler,0.0095,0.00433
Unincorporate,Monmouth,0.01598,0.00254
Unincorporate,Raisin City,0.02747,0.00254
Unincorporate,Riverdale,0.07684,0.01908
Unincorporate,Rural Res,0.07305,0.0081
Unincorporate,Shaver Lake,0.02497,0.01079
Unincorporate,Squaw Valley,0.01027,0.00324
Unincorporate,Three Rocks,0.00462,0.00254
Unincorporate,Tranquillity,0.02234,0.00254
Unincorporate,West Park,0.01945,0.00575
