TAZ,SOI,COMMUNITY,Cube_HU_TAZ,Cube_EMP_TAZ
101,Clovis,,41.35999966,37.29394418
102,Clovis,,0,0
103,Clovis,,135.74,77.78635736
104,Clovis,,150.07,7.92
105,Clovis,,140.75,13.73
106,Clovis,,93.5,0
107,Clovis,,90.97,139.2354215
108,Clovis,,32.13,0
109,Clovis,,109.5,0
110,Clovis,,0,79.72
111,Clovis,,39.53,2.31
112,Clovis,,0,198.5631122
113,Clovis,,0,0
114,Clovis,,42.58,14.9
115,Clovis,,0,17.09
116,Clovis,,39.5,12.35973918
117,Clovis,,143.54,0
118,Clovis,,23.47,0
119,Clovis,,0,0
120,Clovis,,59.24,0.62
121,Clovis,,1.77,228.7527019
122,Clovis,,3.81,137.9787467
123,Clovis,,0.36,0
124,Clovis,,28.74,119.26
125,Clovis,,2.8,33
126,Clovis,,2.45,15.2694024
127,Clovis,,1.05,205.8637174
128,Clovis,,131.26,46.24
129,Clovis,,44.52,0
130,Clovis,,0,82.58
131,Clovis,,39.39,0
132,Clovis,,0.69,0
133,Clovis,,0,35.28541437
134,Clovis,,124.14,13.75
135,Clovis,,0.36,0
136,Clovis,,41.99,13.19899424
137,Clovis,,60.21,0
138,Clovis,,167.89,187.62
139,Clovis,,72.85,71.31971913
140,Clovis,,174.95,27.6462114
141,Clovis,,46.84,0.19
142,Clovis,,11.04,34.73968717
143,Clovis,,7.01,0.74
144,Clovis,,137.93,17.76
145,Clovis,,79.26,0.1362114
146,Clovis,,43.66,73.01707507
147,Clovis,,0,7.64
148,Clovis,,0.69,30.44
149,Clovis,,70.19,64.92
150,Clovis,,20.91,0.63
151,Clovis,,13.79,0
152,Clovis,,79.71,8.17
153,Clovis,,150.98,4.65
154,Clovis,,112.62,1.17
155,Clovis,,0,1.94
156,Clovis,,238.01,6.92
157,Clovis,,55.05,90
158,Clovis,,120.74,0
159,Clovis,,103.9,2.98
160,Clovis,,135.77,60.16496912
161,Clovis,,0.36,10.9
162,Clovis,,27.03,209.4143386
163,Clovis,,140.7,0
164,Clovis,,149.73,72.97
165,Clovis,,74.88,0
166,Clovis,,165.71,1.08
167,Clovis,,105.7599992,3.26
168,Clovis,,0,4.82
169,Fresno,,0,81.92061199
170,Clovis,,167.73,56.35
171,Clovis,,0,0
172,Clovis,,18.99,4.85
173,Clovis,,85.61,15.94
174,Clovis,,0.36,109.9136449
175,Clovis,,0.69,18.19351845
176,Clovis,,146.57,91.75345888
177,Clovis,,11.54,47.23935708
