SOI,Sphere of influence (agency)
COMMUNITY,Unincorporated community name
TAZ,TAZ ID
HU_NET,Net housing units
EMP_NET,Net jobs
TOTAL_SCORE,Development score
TAZ_HU_Target,TAZ growth target (housing units)
TAZ_EMP_Target,TAZ growth target (jobs)
SOI_HU_P,Community housing unit share (if applicable)
SOI_EMP_P,Community employment share (if applicable)
DEV,Development year (9999 for undeveloped)
DEV_TAZ,Cube Land flag (developed in first step)
DEV_SOI,Agency flag (developed in second step)
SOI_HU_Target,Agency growth target (housing units)
SOI_EMP_Target,Agency growth target (jobs)
