SOI,YEAR,POP_TOT,POP_HH,HH_TOT,POP_GRP,POP_SCHL,AGE_0005,AGE_0614,AGE_1519,AGE_2024,AGE_2534,AGE_3544,AGE_4554,AGE_5564,AGE_6574,AGE_75p,RACE_White,RACE_Hisp,RACE_Black,RACE_Asian,RACE_PacIs,RACE_NatAm,RACE_Other,RACE_TwoPlus,INC_0010,INC_1024,INC_2534,INC_3549,INC_5074,INC_7599,INC_100149,INC_150p,EMP_AGR,EMP_OTH,EMP_IND,EMP_RET,EMP_OFC,EMP_EDU,EMP_MED,EMP_FOO,EMP_GOV,EMP_TOT
Fresno County,2019,1018241,1000643,314418,17598,187796,94257,136620,73079,74166,151437,126501,109909,107089,75136,52449,296462,535578,46827,94449,1203,5944,1846,18334,20748,51640,29970,43750,56210,37580,43360,31160,44000,26500,62000,38600,51000,43100,68800,35600,35700,405300
Fresno County,2020,1023360,1005847,316080,17513,188378,94800,136073,73030,73260,151848,128267,109285,107179,78152,53953,294636,541748,46938,95104,1212,5913,1850,18446,22810,56800,32960,47240,52560,35140,39900,28670,41000,24700,56000,36000,47800,43200,66900,23600,36000,375200
Fresno County,2021,1032484,1014831,319921,17654,190064,95648,137288,73682,73914,153204,129413,110261,108136,78850,54435,297267,546587,47357,95953,1223,5966,1867,18611,23087,57490,33361,47814,53199,35567,40385,29018,44000,26100,59083,35898,50721,42466,66048,21360,35640,381316
Fresno County,2022,1041692,1023881,323808,17810,191759,96498,138513,74339,74574,154571,130567,111244,109100,79554,54921,299918,551462,47779,96809,1234,6019,1883,18777,23367,58189,33766,48395,53845,35999,40876,29371,44000,26500,62000,38600,51000,43100,68800,35600,35700,405300
Fresno County,2023,1050981,1033020,327743,17961,193473,96259,134839,75143,71339,148513,137516,111689,104233,87920,65569,285536,574060,47143,98367,1252,5755,1869,19038,20059,50270,28679,43740,62238,41602,47215,33940,44100,26500,62500,39500,52900,43300,70400,35900,35900,411000
Fresno County,2024,1060354,1042241,331726,18113,195202,97118,136042,75814,71975,149839,138744,112686,105164,88704,66155,288087,579183,47563,99245,1263,5806,1886,19208,20303,50881,29027,44272,62994,42108,47789,34352,44200,26500,63100,39800,53300,43600,72000,36100,36200,414800
Fresno County,2025,1069810,1050897,335757,18913,196825,97925,137172,76444,72573,151083,139896,113622,106037,89441,66704,290479,583994,47958,100069,1274,5854,1902,19367,20548,51500,29380,44810,63759,42620,48370,34770,44300,26500,63800,40100,53800,43900,73600,36300,36500,418800
Fresno County,2026,1078121,1059071,338606,19050,198357,98686,138239,77038,73138,152258,140984,114506,106862,90137,67223,292740,588536,48331,100847,1283,5900,1916,19518,20725,51936,29629,45190,64300,42981,48780,35065,44400,26500,64400,40400,54100,44200,74300,36500,36700,421500
Fresno County,2027,1086496,1067308,341479,19188,199900,99451,139315,77638,73707,153443,142081,115396,107693,90838,67746,295015,593114,48707,101632,1293,5946,1931,19670,20901,52377,29880,45573,64846,43346,49194,35362,44600,26500,65000,40600,54400,44500,75000,36700,36900,424200
Fresno County,2028,1094936,1075610,344376,19326,201456,97683,141373,72737,74787,142101,146987,122858,102128,94401,80555,279711,616266,48113,102583,1304,5651,1922,20060,19135,48130,27197,44601,70087,45839,52004,37383,44800,26500,65400,40900,54800,44800,75700,36900,37100,426900
Fresno County,2029,1103442,1083976,347298,19466,203023,98444,142472,73303,75368,143206,148130,123814,102923,95135,81181,281888,621059,48487,103380,1314,5695,1937,20216,19296,48539,27428,44979,70681,46228,52446,37701,44900,26500,66000,41100,55200,45100,76400,37100,37300,429600
Fresno County,2030,1112014,1092379,350245,19635,204598,99206,143577,73871,75953,144316,149278,124774,103721,95872,81811,284073,625874,48863,104182,1324,5739,1952,20372,19459,48951,27660,45361,71281,46621,52891,38021,45100,26500,66600,41400,55500,45400,77100,37300,37500,432400
Fresno County,2031,1119781,1100018,351997,19762,206029,99900,144581,74388,76484,145325,150322,125646,104446,96543,82383,286058,630251,49205,104910,1334,5780,1965,20515,19556,49196,27799,45588,71638,46854,53155,38211,45200,26500,67200,41600,55800,45600,77700,37400,37700,434700
Fresno County,2032,1127601,1107710,353758,19891,207471,100599,145592,74908,77018,146342,151373,126525,105176,97218,82959,288059,634658,49549,105644,1343,5820,1979,20658,19655,49442,27938,45816,71996,47088,53421,38402,45300,26500,67700,41800,56100,45900,78300,37600,37900,437100
Fresno County,2033,1135477,1115456,355528,20021,208922,98446,145040,77247,72517,145224,146718,134426,106606,93717,95515,272146,658901,48704,105871,1351,5492,1961,21030,18208,45950,24712,40781,79444,49544,56207,40682,45400,26500,68200,42000,56600,46200,78900,37800,38100,439700
Fresno County,2034,1143407,1123256,357307,20151,210384,99135,146055,77787,73024,146239,147744,135366,107351,94372,96183,274049,663509,49044,106611,1360,5531,1975,21177,18298,46180,24836,40985,79842,49792,56488,40886,45500,26500,68900,42300,56900,46500,79500,38000,38300,442400
