DEVTYPE,POP_Den,HU_Den,EMP_Den,Redev_Rate,HU_SF_P,HU_MF_P,HU_OTH_P,EDU_P,FOO_P,GOV_P,IND_P,MED_P,OFC_P,OTH_P,RET_P,HH_Size_Est,RU1_SMALL_P,RU1_CONV_P,RU1_LARGE_P,MU
Activity Center,0,0,19.05,0.25,0,0,0,0.099,0.171,0.066,0,0.414,0.111,0,0.139,0,0,0,0,FALSE
Arterial Commercial,0,0,12.94,0.15,0,0,0,0.057,0.336,0.037,0,0.234,0.062,0,0.274,0,0,0,0,FALSE
Compact Neighborhood,30.062,8.6,0,0.35,0.939533995,0.060466006,0,1,0,0,0,0,0,0,0,3.493882733,0.709063787,0.132358573,0,FALSE
Compact Neighborhood High,43.226,14,0,0.25,0.422561688,0.577438312,0,1,0,0,0,0,0,0,0,3.087566549,0.225968828,0,0,FALSE
Downtown,29.106,11.42,105.13,0.9,0,1,0,0.116,0.11,0.076,0,0.48,0.128,0,0.09,2.548040066,0,0,0,TRUE
Downtown Residential,109.8,39.64,22.58,0.7,0,1,0,0.057,0.336,0.037,0,0.234,0.062,0,0.274,2.769617119,0,0,0,TRUE
Educational,0,0,2.98,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
Existing Population Growth,11.44,3.04,0,0.22,0.795352515,0.158237886,0.046409599,1,0,0,0,0,0,0,0,3.49465462,0.015183936,0.227759037,0.516253818,FALSE
Industrial,0,0,9.53,0.25,0,0,0,0,0,0,0.7,0,0.3,0,0,0,0,0,0,FALSE
Institutional,0,0,2.56,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE
Large Lot Residential,7.416,2.08,0,0,1,0,0,1,0,0,0,0,0,0,0,3.57,0,0.15,0.85,FALSE
Main Street,17.6,6.27,32.04,0.5,0,1,0,0.057,0.336,0.037,0,0.234,0.062,0,0.274,2.804866236,0,0,0,TRUE
Mixed-Use Corridor,40.523,14.27,37.51,0.65,0,1,0,0.116,0.11,0.076,0,0.48,0.128,0,0.09,2.840700799,0,0,0,TRUE
Neighborhood Center,34.356,13.34,19.31,0.75,0.062773169,0.937226831,0,0.099,0.171,0.066,0,0.414,0.111,0,0.139,2.575169151,0,0,0,TRUE
Office Park,0,0,33.84,0.25,0,0,0,0.145,0,0.095,0,0.6,0.16,0,0,0,0,0,0,FALSE
Open Space,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE
Regional Retail,0,0,10.56,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
Rural Residential,1.747,0.49,0,0,1,0,0,1,0,0,0,0,0,0,0,3.57,0,0,1,FALSE
Suburban Multifamily,64.067,22.48,0,0.5,0,1,0,1,0,0,0,0,0,0,0,2.8503,0,0,0,FALSE
Suburban Office,0,0,19.14,0.2,0,0,0,0.145,0,0.095,0,0.6,0.16,0,0,0,0,0,0,FALSE
Suburban Residential,13.769,3.86,0,0,1,0,0,1,0,0,0,0,0,0,0,3.57,0.05,0.55,0.4,FALSE
Town Center,56.225,19.75,50,0.85,0,1,0,0.116,0.11,0.076,0,0.48,0.128,0,0.09,2.846691657,0,0,0,TRUE
Town Neighborhood,34.088,11.69,2.42,0.5,0.38562733,0.61437267,0,0.057,0.336,0.037,0,0.234,0.062,0,0.274,2.915308794,0.156288053,0.150898809,0,TRUE
Urban Multifamily,102.014,38.99,0,0,0,1,0,0,0,0,0,0,0,0,0,2.616282795,0,0,0,FALSE
Suburban Residential ADU,25.69820688,7.72,0,0.5,1,0,0,1,0,0,0,0,0,0,0,3.328783275,0.55,0.3,0.15,FALSE
Large Lot Residential ADU,13.84773842,4.16,0,0.5,1,0,0,1,0,0,0,0,0,0,0,3.328783275,0.25,0.4,0.35,FALSE
Rural Residential ADU,3.262207609,0.98,0,0.5,1,0,0,1,0,0,0,0,0,0,0,3.328783275,0,0.5,0.5,FALSE
