; TAZ,COUNTY,CITY,TOTHH,TOTPOP,TOTEMP,EMPEDU,EMPFOO,EMPGOV,EMPIND,EMPMED,EMPOFC,EMPOTH,EMPRET,EMPAGR
101,Fresno,Clovis,425.0,1325.0,227.0,35.0,58.0,0.0,44.0,18.0,19.0,4.0,49.0,0.0
102,Fresno,Clovis,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Fresno,Clovis,383.0,1090.0,566.0,4.0,206.0,0.0,53.0,77.0,70.0,0.0,156.0,0.0
104,Fresno,Clovis,506.0,1648.0,57.63748942853691,0.0,10.0,0.0,27.0,10.0,8.0,0.0,0.0,2.637489428536909
105,Fresno,Clovis,468.0,1576.0,58.879163142845634,0.0,0.0,0.0,13.0,35.0,10.0,0.0,0.0,0.8791631428456365
106,Fresno,Clovis,436.0,1397.0,161.0,156.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
107,Fresno,Clovis,308.0,784.0,850.0,5.0,88.0,0.0,79.0,195.0,84.0,3.0,396.0,0.0
108,Fresno,Clovis,109.0,272.0,2137.0,40.0,8.0,0.0,76.0,339.0,131.0,1389.0,154.0,0.0
109,Fresno,Clovis,372.0,1094.0,677.0,25.0,18.0,0.0,105.0,287.0,180.0,36.0,26.0,0.0
110,Fresno,Clovis,0.0,0.0,267.0,19.0,129.0,0.0,12.0,0.0,6.0,14.0,87.0,0.0
111,Fresno,Clovis,133.0,383.0,15.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0
112,Fresno,Clovis,0.0,0.0,706.0,0.0,137.0,0.0,22.0,0.0,0.0,0.0,547.0,0.0
113,Fresno,Clovis,211.0,658.0,94.0,70.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0
114,Fresno,Clovis,136.0,428.0,101.0,0.0,33.0,0.0,0.0,10.0,6.0,0.0,52.0,0.0
115,Fresno,Clovis,361.0,1102.0,55.0,0.0,45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
116,Fresno,Clovis,130.0,398.0,764.0,0.0,205.0,0.0,62.0,339.0,122.0,4.0,32.0,0.0
117,Fresno,Clovis,464.0,1760.0,110.0,81.0,0.0,0.0,13.0,7.0,9.0,0.0,0.0,0.0
118,Fresno,Clovis,81.0,297.0,101.0,37.0,0.0,0.0,4.0,0.0,60.0,0.0,0.0,0.0
119,Fresno,Clovis,250.0,836.0,57.879163142845634,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8791631428456365
120,Fresno,Clovis,190.0,591.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
121,Fresno,Clovis,5.0,16.0,266.7583262856913,13.0,0.0,2.0,61.0,15.0,107.0,53.0,14.0,1.7583262856912731
122,Fresno,Clovis,8.0,26.0,93.87916314284566,37.0,0.0,0.0,7.0,49.0,0.0,0.0,0.0,0.8791631428456365
123,Fresno,Clovis,2.0,7.0,645.0,57.0,69.0,0.0,46.0,248.0,200.0,0.0,25.0,0.0
124,Fresno,Clovis,91.0,285.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
125,Fresno,Clovis,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Fresno,Clovis,7.0,19.0,273.7583262856913,25.0,5.0,0.0,71.0,95.0,76.0,0.0,0.0,1.7583262856912731
127,Fresno,Clovis,3.0,8.0,2331.274978857073,0.0,6.0,0.0,7.0,2313.0,0.0,0.0,0.0,5.274978857073818
128,Fresno,Clovis,443.0,1479.0,217.0,75.0,0.0,0.0,96.0,6.0,5.0,0.0,35.0,0.0
129,Fresno,Clovis,150.0,505.0,46.0,41.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
130,Fresno,Clovis,120.0,299.0,163.0,0.0,0.0,0.0,64.0,20.0,57.0,4.0,18.0,0.0
131,Fresno,Clovis,192.0,476.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
132,Fresno,Clovis,2.0,3.0,314.0,0.0,101.0,0.0,0.0,50.0,163.0,0.0,0.0,0.0
133,Fresno,Clovis,0.0,0.0,143.0,0.0,111.0,0.0,8.0,0.0,10.0,0.0,14.0,0.0
