SOI,TARGET_YEAR,HHPOP_TARGET,GQPOP_TARGET,SCHL_TARGET,POP_TOT_TARGET,POP_White_TARGET,HH_TARGET,EMP_TARGET,EDU_TARGET,FOO_TARGET,GOV_TARGET,IND_TARGET,MED_TARGET,OFC_TARGET,OTH_TARGET,RET_TARGET,AGR_TARGET,BASE_YEAR,HHPOP_BASE,GQPOP_BASE,SCHL_BASE,HH_BASE,EMP_BASE,EDU_BASE,FOO_BASE,GOV_BASE,IND_BASE,MED_BASE,OFC_BASE,OTH_BASE,RET_BASE,AGR_BASE,HH_POP,Base_HH,Base_HU,Base_EMP,Base_AGR,Base_GQ,Base_SCHL,VacRate,HH_SIZE,SOI_HH_Target,SOI_HU_Target,SOI_HHPOP_Target,SOI_GQ_Target,SOI_SCHL_Target,SCHL_Factor,SOI_EDU_Target,SOI_FOO_Target,SOI_GOV_Target,SOI_IND_Target,SOI_MED_Target,SOI_OFC_Target,SOI_OTH_Target,SOI_RET_Target,SOI_AGR_Target,SOI_EMP_Target
Fresno County,2024,1042241,18113,195202,1060354,288087,331726,414800,43600,36100,36200,63100,72000,53300,26500,39800,44200,2019,1000643,17598,187796,314418,405300,43100,35600,35700,62000,68800,51000,26500,38600,44000,1004581.0,314418.0,335513,404099,49662,15525,269074,0.06287386777859576,2.40339727293737,17308.0,18469.232054144482,41598.0,515.0,7406.0,1.0275240268476329,500.0,500.0,500.0,1100.0,3200.0,2300.0,0.0,1200.0,200.0,9300.0
Clovis,2024,139674,618,26142,140292,75099,47295,37145,3289,5830,840,4880,6912,5640,3434,5940,380,2019,133616,597,25024,44648,36064,3284,5643,812,4808,6866,5000,3428,5848,376,133339.0,44654.0,46230,35629,355,599,28899,0.03409041747782825,2.2886286361919153,2647.0,2740.422134635195,6058.0,21.0,1118.0,1.0386864597390912,5.0,187.0,28.0,72.0,46.0,640.0,6.0,92.0,4.0,1077.0
Coalinga,2024,12054,2334,2670,14388,3892,4206,2809,940,300,310,170,404,190,145,320,30,2019,11314,2218,2513,3917,2697,968,319,319,169,365,187,28,317,25,13444.0,3918.0,4443,2697,25,113,4731,0.11816340310600945,2.5605536332179932,289.0,327.72511485451764,740.0,116.0,157.0,1.0331853730712324,-28.0,-19.0,-9.0,1.0,39.0,3.0,117.0,3.0,5.0,107.0
Firebaugh,2024,8574,0,1606,8574,509,2293,1250,280,70,50,450,160,50,20,90,80,2019,7725,0,1446,2041,1157,236,71,46,434,143,51,16,85,75,7739.0,2044.0,2191,1133,74,0,2296,0.0670926517571885,3.369047619047619,252.0,270.12328767123284,849.0,0.0,160.0,1.0696864111498259,44.0,-1.0,4.0,16.0,17.0,-1.0,4.0,5.0,5.0,88.0
Fowler,2024,6819,38,1276,6857,1150,1964,3300,286,144,30,816,376,196,936,266,250,2019,6339,36,1187,1802,2987,252,123,28,743,297,152,924,221,246,6327.0,1803.0,1953,2853,223,36,1785,0.07680491551459294,2.962962962962963,162.0,175.47753743760398,480.0,2.0,89.0,1.049859943977591,34.0,21.0,2.0,73.0,79.0,44.0,12.0,45.0,4.0,309.0
Fresno,2024,605764,10593,113178,616357,157195,198949,264069,26165,23570,28432,45640,53630,43311,15380,26611,1330,2019,582062,10285,109009,188712,257144,26101,23224,28421,43322,53640,41734,13877,25512,1312,583250.0,188819.0,199984,257572,1307,10309,165169,0.05582946635730859,2.3153267558855135,10237.0,10842.320995238826,23702.0,308.0,4169.0,1.0252408139541924,64.0,346.0,11.0,2318.0,-10.0,1577.0,1503.0,1099.0,18.0,6907.0
Huron,2024,5883,0,1102,5883,72,1556,1410,180,20,170,20,120,0,0,40,860,2019,5698,0,1067,1487,1244,118,22,156,14,51,2,0,38,843,5708.0,1487.0,1526,1244,843,0,2169,0.025557011795543906,2.681159420289855,69.0,70.80968392737054,185.0,0.0,35.0,1.016136468418626,62.0,-2.0,14.0,6.0,69.0,-2.0,0.0,2.0,17.0,149.0
Kerman,2024,15353,29,2875,15382,2292,4398,3464,350,380,178,440,411,630,160,820,95,2019,14195,27,2658,4014,2798,341,336,169,394,411,390,162,501,95,15336.0,4019.0,4436,2847,95,27,4646,0.09400360685302074,3.015625,384.0,423.84274695197814,1158.0,2.0,217.0,1.0467068445975032,9.0,44.0,9.0,46.0,0.0,240.0,-2.0,319.0,0.0,666.0
Kingsburg,2024,14071,99,2633,14169,6347,4576,4176,272,478,74,1545,331,245,658,443,130,2019,13255,94,2483,4255,3751,272,478,74,1165,321,245,658,413,125,13279.0,4253.0,4399,3750,124,94,3318,0.03318936121845874,2.542056074766355,321.0,332.01951563602165,816.0,5.0,150.0,1.0452079566003616,0.0,0.0,0.0,380.0,10.0,0.0,0.0,30.0,5.0,420.0
Mendota,2024,11703,0,2191,11703,205,2840,925,160,90,40,100,205,40,0,190,100,2019,11174,0,2092,2676,912,161,92,44,97,185,34,1,180,118,11194.0,2675.0,2768,912,117,0,3572,0.03359826589595376,3.225609756097561,164.0,169.70168224299064,529.0,0.0,99.0,1.0277155655095185,-1.0,-2.0,-4.0,3.0,20.0,6.0,-1.0,10.0,-18.0,31.0
